Attribute,Attribute type,Acceptable values
Accessibility: Assisted listening devices (has_assisted_listening_devices),Yes/no,"Yes, No"
Accessibility: Assistive hearing loop (has_hearing_loop),Yes/no,"Yes, No"
Accessibility: Auracast broadcast audio (has_auracast_broadcast_audio),Yes/no,"Yes, No"
Accessibility: Passenger loading area (has_passenger_loading_area),Yes/no,"Yes, No"
Accessibility: Wheelchair accessible entrance (has_wheelchair_accessible_entrance),Yes/no,"Yes, No"
Accessibility: Wheelchair accessible parking lot (has_wheelchair_accessible_parking),Yes/no,"Yes, No"
Accessibility: Wheelchair accessible restroom (has_wheelchair_accessible_restroom),Yes/no,"Yes, No"
Accessibility: Wheelchair accessible seating (has_wheelchair_accessible_seating),Yes/no,"Yes, No"
Accessibility: Wheelchair rental (wheelchair_rental_offerings): Motorized (motorized_wheelchairs),Yes/no,"Yes, No"
Accessibility: Wheelchair rental (wheelchair_rental_offerings): Non-motorized (non_motorized_wheelchairs),Yes/no,"Yes, No"
Activities: Accepting food donations (accepts_non_monetary_donations),Yes/no,"Yes, No"
Activities: Accepting monetary donations (accepts_monetary_donations),Yes/no,"Yes, No"
Activities: Accepting new volunteers (accepts_new_volunteers),Yes/no,"Yes, No"
Activities: Bicycle rental (has_bicycles_for_rent),Yes/no,"Yes, No"
Activities: Driving range (has_driving_range),Yes/no,"Yes, No"
Activities: Eighteen hole course (can_play_eighteen_hole_course),Yes/no,"Yes, No"
Activities: Go karts (has_go_karts),Yes/no,"Yes, No"
Activities: Hiking (has_hiking),Yes/no,"Yes, No"
Activities: Lazy river (has_lazy_river),Yes/no,"Yes, No"
Activities: Mini golf (has_mini_golf),Yes/no,"Yes, No"
Activities: Nine hole course (can_play_nine_hole_course),Yes/no,"Yes, No"
Activities: Touch tank (has_touch_tank),Yes/no,"Yes, No"
Activities: Wave pool (has_wave_pool),Yes/no,"Yes, No"
Amenities: Air conditioning (has_air_conditioning),Yes/no,"Yes, No"
Amenities: Baggage storage (has_baggage_storage),Yes/no,"Yes, No"
Amenities: Bar onsite (has_bar_onsite),Yes/no,"Yes, No"
Amenities: Barbecue grill (has_barbecue_grill),Yes/no,"Yes, No"
Amenities: Baseball field (has_baseball_field),Yes/no,"Yes, No"
Amenities: Basketball court (has_basketball_court),Yes/no,"Yes, No"
Amenities: Beach access (has_beach_access),Yes/no,"Yes, No"
Amenities: Bedrock bath (has_bedrock_bath),Yes/no,"Yes, No"
Amenities: Business center (has_business_center),Yes/no,"Yes, No"
Amenities: Cabana rental (has_cabana_rental),Yes/no,"Yes, No"
Amenities: Cafe (has_cafe),Yes/no,"Yes, No"
Amenities: Car vacuum (has_car_vacuum),Yes/no,"Yes, No"
Amenities: Cellular service (has_cellular_service),Yes/no,"Yes, No"
Amenities: Child care (has_child_care),Yes/no,"Yes, No"
Amenities: Concierge (has_concierge),Yes/no,"Yes, No"
Amenities: Convenience store (has_onsite_convenience_store),Yes/no,"Yes, No"
Amenities: Cycling lanes (has_cycling_lanes),Yes/no,"Yes, No"
Amenities: Day-use private bath (has_day_use_private_bath),Yes/no,"Yes, No"
Amenities: Elevator (has_elevator),Yes/no,"Yes, No"
Amenities: Fitness center (has_fitness_center),Yes/no,"Yes, No"
Amenities: Free vacuums (has_free_vacuums),Yes/no,"Yes, No"
Amenities: Free-flowing onsen (has_gensen_kakenagashi),Yes/no,"Yes, No"
Amenities: Gender-neutral restroom (has_restroom_unisex),Yes/no,"Yes, No"
Amenities: Golf course (has_golf_course),Yes/no,"Yes, No"
Amenities: Golf simulator (has_golf_simulator),Yes/no,"Yes, No"
Amenities: Has a tennis court (has_tennis_courts),Yes/no,"Yes, No"
Amenities: Hot tub (has_hot_tub),Yes/no,"Yes, No"
Amenities: In-unit washer/dryer (has_in_unit_washer_dryer),Yes/no,"Yes, No"
Amenities: Lie-down bath (has_lie_down_bath),Yes/no,"Yes, No"
Amenities: Lockers available (has_lockers),Yes/no,"Yes, No"
Amenities: Maintenance (has_onsite_maintenance),Yes/no,"Yes, No"
Amenities: Mechanic (has_mechanic),Yes/no,"Yes, No"
Amenities: Membership (offers_membership),Yes/no,"Yes, No"
Amenities: Natural onsen (has_natural_onsen),Yes/no,"Yes, No"
Amenities: Offers tours (offers_tours),Yes/no,"Yes, No"
Amenities: Online scheduling (has_online_scheduling),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Acidic spring (acidic_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Carbon dioxide spring (carbon_dioxide_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Carbonated spring (carbonated_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Chloride spring (chloride_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Ferruginous spring (ferruginous_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Iodine-containing spring (iodine_containing_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Radioactive spring (radioactive_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Simple spring (simple_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Sulphate spring (sulphate_spring),Yes/no,"Yes, No"
Amenities: Onsen water types (onsen_water_types): Sulphur spring (sulphur_spring),Yes/no,"Yes, No"
Amenities: Open-air bath (has_open_air_bath),Yes/no,"Yes, No"
Amenities: Outdoor Space (has_private_outdoor_space),Yes/no,"Yes, No"
Amenities: Party services (has_party_services),Yes/no,"Yes, No"
Amenities: Pets welcome (welcomes_pets),Yes/no,"Yes, No"
Amenities: Petting zoo (has_petting_zoo),Yes/no,"Yes, No"
Amenities: Picnic tables (has_picnic_tables),Yes/no,"Yes, No"
Amenities: Public restroom (has_restroom_public),Yes/no,"Yes, No"
Amenities: Public shower (has_showers_public),Yes/no,"Yes, No"
Amenities: Rest area (has_rest_area),Yes/no,"Yes, No"
Amenities: Restaurant (has_restaurant),Yes/no,"Yes, No"
Amenities: Restroom (has_restroom),Yes/no,"Yes, No"
Amenities: Running water (has_running_water),Yes/no,"Yes, No"
Amenities: Skateboarding area (has_skateboard_area),Yes/no,"Yes, No"
Amenities: Slides (has_playground_slides),Yes/no,"Yes, No"
Amenities: Smoke-free place (is_smoke_free_property),Yes/no,"Yes, No"
Amenities: Spa (has_spa),Yes/no,"Yes, No"
Amenities: Stadium seating (has_stadium_seating),Yes/no,"Yes, No"
Amenities: Swimming pool (has_swimming_pool),Yes/no,"Yes, No"
Amenities: Swimming pool (swimming_pool_offerings): Indoor (indoor_pool),Yes/no,"Yes, No"
Amenities: Swimming pool (swimming_pool_offerings): Outdoor (outdoor_pool),Yes/no,"Yes, No"
Amenities: Swings (has_playground_swings),Yes/no,"Yes, No"
Amenities: Tent sites (has_tent_site),Yes/no,"Yes, No"
Amenities: Towels (has_towels),Yes/no,"Yes, No"
Amenities: Volleyball court (has_volleyball_court),Yes/no,"Yes, No"
Atmosphere: Shower (has_shower),Yes/no,"Yes, No"
Children: Discounts for kids (has_discounts_for_kids),Yes/no,"Yes, No"
Children: Family discount (has_discounts_for_families),Yes/no,"Yes, No"
Children: Good for kids (welcomes_children),Yes/no,"Yes, No"
Children: Has changing table(s) (has_changing_tables),Yes/no,"Yes, No"
Children: High chairs (has_high_chairs),Yes/no,"Yes, No"
Children: Kid-friendly activities (has_kid_friendly_activities),Yes/no,"Yes, No"
Children: Kids' menu (has_childrens_menu),Yes/no,"Yes, No"
Children: Nursing room (has_lactation_space),Yes/no,"Yes, No"
Children: Playground (has_area_play),Yes/no,"Yes, No"
Crowd: Family-friendly (welcomes_families),Yes/no,"Yes, No"
Crowd: LGBTQ+ friendly (welcomes_lgbtq),Yes/no,"Yes, No"
Crowd: Transgender safespace (is_transgender_safespace),Yes/no,"Yes, No"
Deities Represented: Brahma (has_deity_brahma_represented),Yes/no,"Yes, No"
Deities Represented: Durga (has_deity_durga_represented),Yes/no,"Yes, No"
Deities Represented: Hanuman (has_deity_hanuman_represented),Yes/no,"Yes, No"
Deities Represented: Krishna (has_deity_krishna_represented),Yes/no,"Yes, No"
Deities Represented: Lakshmi (has_deity_lakshmi_represented),Yes/no,"Yes, No"
Deities Represented: Mahavira (has_deity_mahavira_represented),Yes/no,"Yes, No"
Deities Represented: Neminatha (has_deity_neminatha_represented),Yes/no,"Yes, No"
Deities Represented: Parshvanatha (has_deity_parshvanatha_represented),Yes/no,"Yes, No"
Deities Represented: Rama (has_deity_rama_represented),Yes/no,"Yes, No"
