Store code,Business name,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Sub-locality,Locality,Administrative area,Country / Region,Postal code,Latitude,Longitude,Primary phone,Additional phones,Website,Primary category,Additional categories,Sunday hours,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Special hours,From the business,Opening date,Logo photo,Cover photo,Other photos,Labels,AdWords location extensions phone
ES-001,Cherokee Academy by Early Start Early Learning,1205 Upper Burris Road,,,,,,Canton,GA,US,30114,,,,,https://earlystarttherapy.com/locations/cherokee-academy/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Cherokee;Service:ABA-Speech-OT,
ES-002,East Cobb Campus,2499 Shallowford Road NE,,,,,,Marietta,GA,US,30066,,,,,https://earlystarttherapy.com/locations/east-cobb-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Cobb;Service:ABA-Speech-OT,
ES-003,Ellenwood Campus,2765 E Atlanta Rd,,,,,,Ellenwood,GA,US,30294,,,,,https://earlystarttherapy.com/locations/ellenwood-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Dekalb;Service:ABA-Speech-OT,
ES-004,Johns Creek,3580 Old Alabama Rd,,,,,,Johns Creek,GA,US,30005,,,,,https://earlystarttherapy.com/locations/johns-creek-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Fulton;Service:ABA-Speech-OT,
ES-005,Jonesboro Campus,1832 Noahs Ark Road,,,,,,Jonesboro,GA,US,30236,,,,,https://earlystarttherapy.com/locations/jonesboro-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Clayton;Service:ABA-Speech-OT,
ES-006,Lawrenceville Campus,3650 Club Drive,,,,,,Lawrenceville,GA,US,30044,,,,,https://earlystarttherapy.com/locations/lawrenceville-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Gwinnett;Service:ABA-Speech-OT,
ES-007,Lilburn Campus,917 Killian Hill Road Southwest,,,,,,Lilburn,GA,US,30047,,,,,https://earlystarttherapy.com/locations/lilburn-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Gwinnett;Service:ABA-Speech-OT,
ES-008,Mcdonough,90 Hunters Chase,,,,,,Mcdonough,GA,US,30253,,,,,https://earlystarttherapy.com/locations/mcdonough-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Henry;Service:ABA-Speech-OT,
ES-009,Midway Campus,4015 Discovery Dr,,,,,,Alpharetta,GA,US,30004,,,,,https://earlystarttherapy.com/locations/midway-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Fulton;Service:ABA-Speech-OT,
ES-010,Newnan Campus,40 Bledsoe Rd,,,,,,Newnan,GA,US,30265,,,,,https://earlystarttherapy.com/locations/newnan-campus/,Behavioral therapist,"Speech pathologist,Occupational therapist,Child care agency",x,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,x,,"Early Start provides pediatric ABA, speech, and occupational therapy in a warm, play-led setting. We support neurodivergent children ages 18 months to 12 years with evidence-based care.",,,,,Region:Coweta;Service:ABA-Speech-OT,
